product_code,item_name,unit_measurement,current_supply,unit_cost
12191601-AL-E04,"ALCOHOL, Ethyl, 500 mL",bottle,400,47.85
12191601-AL-E03,"ALCOHOL, Ethyl,  1 Gallon",gallon,200,330.55
60121413-CB-P01,"CLEARBOOK, 20 transparent pockets, A4",piece,200,32.91
60121413-CB-P02,"CLEARBOOK, 20 transparent pockets, legal",piece,200,36.36
60121534-ER-P01,"ERASER, plastic/ rubber",piece,0,4.47
60121524-SP-G01,"SIGN PEN, Black, liquid or gel",piece,400,22.20
60121524-SP-G02,"SIGN PEN, Blue, liquid or gel",piece,400,22.20
60121524-SP-G03,"SIGN PEN, Red, liquid or gel",piece,400,22.20
60121124-WR-P01,"WRAPPING PAPER, kraft, 50 sheets per pack",pack,40,161.20
45121517-DO-C02,"DOCUMENT CAMERA, 8 MP",unit,1,23623.60
45111609-MM-P01,"MULTIMEDIA PROJECTOR, 4000 ANSI Lumens (min.)",unit,1,16588.00
26111702-BT-A02,"BATTERY, dry cell, size AA, Two (2) pieces per blister pack",pack  ,100,20.49
26111702-BT-A01,"BATTERY, dry cell, size AAA, Two (2) pieces per blister pack",pack  ,100,18.34
26111702-BT-A03,"BATTERY, dry cell, size D,  Two (2) pieces per blister pack",pack  ,0,96.20
47131812-AF-A01,"AIR FRESHENER, Aerosol type, 150g",can,200,81.64
47131604-BR-S01,"BROOM, Soft (Walis Tambo)",piece,200,136.24
47131604-BR-T01,"BROOM, Stick (Walis Ting-ting)",piece,120,22.78
47131829-TB-C01,"CLEANER, Toilet Bowl and Urinal, 900mL - 1000mL",bottle,200,41.60
47131805-CL-P01,"CLEANSER, Scouring Powder, 350g",can,120,23.92
47131811-DE-B02,"DETERGENT BAR, 140g as packed",piece,0,8.30
47131811-DE-P03,"DETERGENT POWDER, all purpose, 1kg",pouch ,80,54.08
47131803-DS-A01,"DISINFECTANT SPRAY, Aerosol type, 400g",can,200,139.89
47131601-DU-P01,"DUST PAN, rigid non-breakable plastic",piece,100,27.64
47131802-FW-P02,"FLOOR WAX, paste type, red, 2kg",can,120,309.76
47131830-FC-A01,"FURNITURE CLEANER, Aerosol type, 300mL",can,200,120.12
73101612-HS-L01,"LIQUID HAND SOAP, 500mL",bottle,200,42.95
47121804-MP-B01,"MOP BUCKET, heavy duty, hard plastic, 30 liters capacity",unit,8,2288.00
47131613-MP-H02,"MOPHANDLE, heavy duty",piece,80,124.80
47131619-MP-R01,"MOPHEAD, made of rayon",piece,200,122.51
47131501-RG-C01,"RAGS, all cotton, 1 kilo per bundle",bundle,80,53.14
47131602-SC-N01,"SCOURING PAD, 5 pieces per pack",pack,100,57.93
47121701-TB-P04,"TRASHBAG, black, 37"" x 40"", XL, 10 pieces per roll or pack",pack,80,144.04
47121702-WB-P01,"WASTEBASKET, rigid plastic",piece,40,31.91
12171703-SI-P01,"INK, for stamp pad, 50mL",bottle,40,28.91
52161535-DV-R01,DIGITAL VOICE RECORDER,unit,4,7339.16
